Koło;Nazwisko;Imię ;1-31;1-35;1-40;1-56;1-57;1-64;1-89;1-126;1-139;1-140;2-8;3-15;5-4;5-15;5-28;6-14;6-16;7-11;8-7;8-11;9-16;9-17;9-18;9-22;9-25;9-26;10-8;10-9;10-11;10-15;10-18;10-19;11-8;11-11;11-13;11-16;11-44;11-48;11-55;12-13;12-14;12-24;12-26;12-27;12-28;14-18;14-19;14-20;14-29;14-36;15-27;15-35;15-50;16-6;16-7;16-17;16-21;16-63;16-82
KO;Adamowicz;Piotr;PRZECIW;ZA;ZA;ZA;PRZECIW;ZA;ZA;ZA;ZA;ZA;ZA;NIEOBECNY;PRZECIW;PRZECIW;ZA;ZA;ZA;ZA;ZA;ZA;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;PRZECIW;PRZECIW;ZA;ZA;ZA;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;ZA;ZA;PRZECIW;PRZECIW;ZA;ZA;ZA;ZA;ZA;ZA;ZA;ZA;ZA;ZA
KO;Augustyn;Urszula;PRZECIW;ZA;ZA;ZA;PRZECIW;ZA;ZA;ZA;ZA;ZA;ZA;ZA;PRZECIW;PRZECIW;ZA;ZA;ZA;ZA;ZA;ZA;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;PRZECIW;PRZECIW;ZA;ZA;ZA;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;ZA;ZA;PRZECIW;PRZECIW;ZA;ZA;ZA;ZA;ZA;ZA;ZA;ZA;ZA;ZA
KO;Bielawska;Sylwia;PRZECIW;ZA;ZA;ZA;PRZECIW;ZA;ZA;ZA;ZA;ZA;ZA;ZA;PRZECIW;PRZECIW;ZA;ZA;ZA;ZA;ZA;ZA;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;PRZECIW;PRZECIW;ZA;ZA;ZA;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;ZA;ZA;PRZECIW;PRZECIW;ZA;ZA;ZA;ZA;ZA;ZA;ZA;ZA;ZA;ZA
KO;Bliźniuk;Paweł;PRZECIW;ZA;ZA;ZA;PRZECIW;ZA;ZA;ZA;ZA;ZA;ZA;ZA;PRZECIW;PRZECIW;ZA;ZA;ZA;ZA;ZA;ZA;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;PRZECIW;PRZECIW;ZA;ZA;ZA;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;ZA;ZA;PRZECIW;PRZECIW;ZA;ZA;ZA;ZA;ZA;ZA;ZA;ZA;ZA;ZA
KO;Bochenek;Mateusz;PRZECIW;ZA;ZA;ZA;PRZECIW;ZA;ZA;ZA;ZA;ZA;ZA;ZA;PRZECIW;PRZECIW;ZA;ZA;ZA;ZA;ZA;ZA;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;PRZECIW;PRZECIW;ZA;ZA;ZA;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;ZA;ZA;PRZECIW;PRZECIW;ZA;ZA;ZA;ZA;ZA;ZA;ZA;ZA;ZA;ZA
KO;Bojarski;Krzysztof;PRZECIW;ZA;ZA;ZA;PRZECIW;ZA;ZA;ZA;ZA;ZA;ZA;ZA;NIEOBECNY;NIEOBECNY;NIEOBECNY;ZA;ZA;ZA;ZA;ZA;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;NIEOBECNY;NIEOBECNY;NIEOBECNY;NIEOBECNY;NIEOBECNY;NIEOBECNY;PRZECIW;PRZECIW;ZA;ZA;ZA;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;ZA;ZA;PRZECIW;PRZECIW;ZA;ZA;ZA;ZA;ZA;ZA;ZA;ZA;ZA;ZA
KO;Borys;Piotr;PRZECIW;ZA;ZA;ZA;PRZECIW;ZA;ZA;ZA;ZA;ZA;ZA;ZA;PRZECIW;PRZECIW;ZA;ZA;ZA;ZA;ZA;ZA;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;PRZECIW;PRZECIW;ZA;ZA;ZA;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;ZA;ZA;PRZECIW;PRZECIW;ZA;ZA;ZA;ZA;ZA;ZA;ZA;ZA;ZA;ZA
KO;Bosacki;Marcin;PRZECIW;ZA;ZA;ZA;PRZECIW;ZA;ZA;ZA;ZA;ZA;ZA;ZA;PRZECIW;PRZECIW;ZA;ZA;ZA;ZA;ZA;ZA;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;PRZECIW;PRZECIW;ZA;ZA;NIEOBECNY;NIEOBECNY;NIEOBECNY;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;ZA;NIEOBECNY;PRZECIW;PRZECIW;ZA;ZA;ZA;ZA;ZA;ZA;ZA;ZA;ZA;ZA
KO;Chmielewski;Marek;PRZECIW;ZA;ZA;ZA;PRZECIW;ZA;ZA;ZA;ZA;ZA;ZA;ZA;PRZECIW;PRZECIW;ZA;ZA;ZA;ZA;ZA;ZA;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;PRZECIW;PRZECIW;ZA;ZA;ZA;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;ZA;ZA;PRZECIW;PRZECIW;ZA;ZA;ZA;ZA;ZA;ZA;ZA;ZA;ZA;ZA
KO;Chybicka;Alicja;PRZECIW;ZA;ZA;ZA;PRZECIW;ZA;ZA;ZA;ZA;ZA;ZA;ZA;PRZECIW;PRZECIW;ZA;ZA;ZA;ZA;ZA;ZA;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;PRZECIW;PRZECIW;ZA;ZA;ZA;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;ZA;ZA;PRZECIW;PRZECIW;ZA;ZA;ZA;ZA;ZA;ZA;ZA;ZA;ZA;ZA
